iter	Passed	Remaining
0	8	8698
1	16	8449
2	24	8281
3	31	7941
4	39	7916
5	48	7997
6	56	7961
7	63	7875
8	71	7844
9	79	7828
10	87	7845
11	95	7830
12	104	7905
13	113	7982
14	121	7975
15	130	8039
16	138	8024
17	147	8023
18	154	7989
19	162	7984
20	171	7973
21	179	7967
22	187	7953
23	195	7961
24	203	7944
25	212	7958
26	220	7948
27	229	7955
28	237	7945
29	245	7951
30	254	7944
31	262	7946
32	270	7931
33	279	7928
34	287	7921
35	295	7921
36	304	7917
37	312	7914
38	321	7913
39	329	7912
40	337	7897
41	346	7903
42	354	7892
43	363	7888
44	371	7878
45	379	7873
46	387	7861
47	396	7866
48	404	7854
49	413	7857
50	421	7840
51	429	7833
52	437	7815
53	445	7802
54	453	7791
55	461	7785
56	469	7772
57	478	7766
58	486	7758
59	492	7720
60	499	7694
61	508	7685
62	516	7675
63	524	7668
64	532	7659
65	540	7653
66	549	7646
67	557	7644
68	565	7634
69	574	7627
70	582	7615
71	590	7606
72	598	7598
73	607	7597
74	615	7586
75	623	7581
76	631	7571
77	640	7565
78	647	7553
79	656	7551
80	664	7538
81	672	7534
82	680	7522
83	689	7515
84	697	7506
85	706	7505
86	714	7495
87	722	7487
88	730	7477
89	739	7473
90	747	7469
91	756	7468
92	765	7466
93	774	7469
94	783	7463
95	789	7433
96	798	7436
97	808	7437
98	816	7430
99	825	7430
100	835	7432
101	844	7430
102	853	7431
103	861	7421
104	868	7405
105	876	7396
106	885	7390
107	893	7381
108	902	7374
109	910	7365
110	918	7356
111	926	7342
112	935	7340
113	943	7330
114	951	7320
115	959	7308
116	967	7300
117	975	7293
118	983	7284
119	992	7275
120	1000	7267
121	1009	7261
122	1017	7257
123	1026	7248
124	1034	7242
125	1042	7232
126	1051	7225
127	1059	7215
128	1068	7212
129	1076	7203
130	1085	7199
131	1094	7196
132	1103	7190
133	1111	7180
134	1119	7175
135	1128	7167
136	1136	7162
137	1146	7158
138	1153	7147
139	1161	7137
140	1170	7128
141	1178	7121
142	1186	7112
143	1195	7104
144	1202	7092
145	1211	7084
146	1218	7072
147	1227	7069
148	1236	7061
149	1245	7057
150	1253	7050
151	1262	7041
152	1270	7031
153	1279	7026
154	1286	7014
155	1293	6997
156	1301	6986
157	1308	6975
158	1316	6965
159	1324	6955
160	1332	6946
161	1340	6935
162	1348	6925
163	1356	6913
164	1364	6907
165	1372	6896
166	1380	6888
167	1388	6877
168	1397	6870
169	1405	6862
170	1414	6856
171	1422	6848
172	1431	6841
173	1439	6832
174	1447	6825
175	1456	6817
176	1464	6809
177	1473	6803
178	1481	6795
179	1490	6787
180	1497	6778
181	1506	6770
182	1514	6761
183	1522	6753
184	1530	6743
185	1539	6736
186	1547	6727
187	1555	6718
188	1563	6709
189	1572	6702
190	1580	6694
191	1589	6687
192	1596	6677
193	1605	6670
194	1613	6661
195	1622	6655
196	1630	6646
197	1638	6637
198	1646	6628
199	1654	6619
200	1662	6609
201	1671	6602
202	1679	6593
203	1687	6584
204	1695	6575
205	1704	6569
206	1712	6559
207	1720	6551
208	1728	6543
209	1737	6534
210	1745	6527
211	1754	6522
212	1763	6515
213	1771	6507
214	1777	6488
215	1787	6489
216	1796	6483
217	1805	6477
218	1813	6468
219	1822	6460
220	1830	6450
221	1838	6444
222	1846	6435
223	1855	6427
224	1863	6418
225	1872	6411
226	1880	6402
227	1889	6396
228	1897	6389
229	1906	6383
230	1913	6370
231	1922	6364
232	1931	6359
233	1940	6350
234	1948	6342
235	1956	6334
236	1965	6326
237	1973	6318
238	1981	6310
239	1990	6302
240	1998	6294
241	2007	6287
242	2015	6279
243	2024	6271
244	2032	6263
245	2040	6255
246	2049	6247
247	2057	6239
248	2066	6232
249	2075	6225
250	2084	6219
251	2091	6209
252	2100	6202
253	2108	6193
254	2117	6186
255	2125	6178
256	2134	6171
257	2142	6162
258	2151	6154
259	2159	6145
260	2167	6137
261	2175	6128
262	2184	6120
263	2192	6111
264	2200	6104
265	2209	6095
266	2217	6087
267	2225	6079
268	2234	6073
269	2243	6065
270	2251	6057
271	2259	6048
272	2268	6040
273	2276	6031
274	2284	6022
275	2292	6014
276	2300	6005
277	2308	5996
278	2317	5987
279	2325	5978
280	2333	5970
281	2341	5961
282	2350	5953
283	2357	5944
284	2366	5936
285	2374	5927
286	2382	5918
287	2390	5909
288	2398	5901
289	2407	5894
290	2415	5886
291	2424	5877
292	2431	5868
293	2439	5859
294	2448	5850
295	2456	5843
296	2464	5834
297	2473	5826
298	2481	5818
299	2490	5810
300	2498	5802
301	2506	5794
302	2515	5786
303	2523	5777
304	2531	5769
305	2540	5761
306	2548	5752
307	2556	5743
308	2564	5734
309	2572	5726
310	2580	5717
311	2589	5709
312	2597	5700
313	2605	5693
314	2613	5684
315	2622	5675
316	2630	5666
317	2638	5658
318	2646	5649
319	2654	5640
320	2662	5631
321	2671	5624
322	2679	5616
323	2687	5607
324	2695	5599
325	2703	5590
326	2712	5582
327	2720	5573
328	2729	5567
329	2738	5560
330	2747	5552
331	2755	5544
332	2763	5535
333	2771	5527
334	2780	5519
335	2789	5512
336	2797	5504
337	2806	5496
338	2814	5488
339	2823	5480
340	2831	5472
341	2840	5464
342	2848	5455
343	2856	5447
344	2864	5439
345	2873	5430
346	2881	5421
347	2889	5414
348	2898	5406
349	2907	5399
350	2916	5392
351	2924	5384
352	2933	5376
353	2941	5367
354	2949	5359
355	2957	5350
356	2966	5342
357	2974	5334
358	2983	5327
359	2991	5318
360	3000	5311
361	3008	5303
362	3017	5295
363	3025	5285
364	3033	5277
365	3041	5268
366	3049	5260
367	3059	5253
368	3067	5246
369	3075	5237
370	3084	5229
371	3092	5220
372	3101	5212
373	3109	5204
374	3117	5195
375	3125	5186
376	3134	5179
377	3142	5170
378	3150	5161
379	3158	5153
380	3167	5145
381	3175	5136
382	3183	5128
383	3192	5121
384	3200	5112
385	3209	5104
386	3217	5096
387	3225	5087
388	3234	5079
389	3242	5071
390	3250	5063
391	3258	5054
392	3267	5046
393	3275	5037
394	3283	5029
395	3291	5020
396	3300	5012
397	3308	5004
398	3316	4995
399	3325	4988
400	3333	4979
401	3341	4970
402	3349	4962
403	3357	4953
404	3366	4945
405	3374	4937
406	3382	4928
407	3390	4920
408	3399	4911
409	3407	4903
410	3416	4895
411	3425	4888
412	3433	4879
413	3442	4872
414	3450	4864
415	3458	4855
416	3466	4846
417	3475	4838
418	3483	4829
419	3491	4820
420	3499	4812
421	3508	4805
422	3517	4797
423	3525	4789
424	3533	4780
425	3541	4772
426	3549	4763
427	3557	4754
428	3565	4746
429	3575	4739
430	3584	4731
431	3594	4725
432	3603	4718
433	3612	4711
434	3620	4703
435	3629	4695
436	3639	4688
437	3648	4680
438	3657	4674
439	3666	4666
440	3675	4659
441	3684	4652
442	3693	4644
443	3702	4636
444	3712	4629
445	3721	4622
446	3731	4615
447	3740	4609
448	3749	4601
449	3758	4594
450	3767	4586
451	3777	4579
452	3786	4571
453	3795	4564
454	3804	4557
455	3813	4549
456	3823	4542
457	3832	4535
458	3841	4528
459	3850	4520
460	3859	4512
461	3868	4504
462	3876	4496
463	3885	4488
464	3894	4481
465	3904	4474
466	3913	4466
467	3922	4458
468	3931	4451
469	3940	4443
470	3949	4436
471	3958	4428
472	3967	4420
473	3975	4411
474	3983	4403
475	3992	4394
476	4000	4386
477	4009	4378
478	4017	4369
479	4025	4360
480	4034	4352
481	4043	4345
482	4052	4337
483	4060	4328
484	4068	4320
485	4076	4311
486	4085	4303
487	4093	4294
488	4102	4286
489	4110	4277
490	4118	4269
491	4126	4260
492	4134	4252
493	4142	4243
494	4151	4235
495	4159	4226
496	4168	4218
497	4176	4209
498	4185	4201
499	4193	4193
500	4202	4185
501	4210	4176
502	4218	4168
503	4226	4159
504	4235	4151
505	4243	4142
506	4251	4134
507	4259	4125
508	4268	4117
509	4276	4108
510	4284	4100
511	4292	4091
512	4302	4084
513	4310	4075
514	4318	4066
515	4326	4058
516	4334	4049
517	4343	4041
518	4351	4033
519	4360	4024
520	4368	4015
521	4376	4007
522	4384	3998
523	4393	3991
524	4402	3982
525	4410	3974
526	4419	3966
527	4428	3959
528	4440	3953
529	4452	3948
530	4462	3941
531	4470	3932
532	4479	3924
533	4487	3915
534	4496	3907
535	4504	3899
536	4512	3891
537	4521	3882
538	4529	3874
539	4537	3865
540	4546	3857
541	4554	3848
542	4563	3840
543	4571	3831
544	4579	3823
545	4588	3815
546	4596	3806
547	4605	3798
548	4613	3790
549	4622	3781
550	4630	3773
551	4639	3765
552	4647	3756
553	4656	3748
554	4664	3739
555	4672	3731
556	4681	3723
557	4689	3714
558	4697	3705
559	4706	3698
560	4715	3689
561	4724	3682
562	4732	3673
563	4741	3665
564	4749	3656
565	4758	3648
566	4766	3640
567	4775	3631
568	4783	3623
569	4791	3614
570	4799	3606
571	4808	3597
572	4816	3589
573	4825	3580
574	4833	3572
575	4841	3563
576	4849	3555
577	4857	3546
578	4865	3537
579	4874	3529
580	4882	3521
581	4890	3512
582	4899	3504
583	4907	3495
584	4915	3487
585	4924	3478
586	4931	3470
587	4940	3461
588	4948	3452
589	4956	3444
590	4965	3436
591	4973	3427
592	4981	3418
593	4989	3410
594	4997	3401
595	5006	3393
596	5014	3384
597	5022	3376
598	5030	3367
599	5039	3359
600	5048	3351
601	5056	3342
602	5064	3334
603	5072	3325
604	5081	3317
